Alfa romeo,Bilmerke,,,,,,
Brera,,,,,,,
 , , , , , , ,
6 serie,,,,,,,
645i,190kW,258hk,203kW,276hk,300Nm,322Nm,
645i,245kW,333hk,269kW,353hk,450Nm,472Nm,
 , , , , , , ,
7 serie,,,,,,,
728i E38,142kW,193hk,154kW,210hk,280Nm,305Nm,
730i E38,160kW,218hk,178kW,243hk,290Nm,322Nm,
730i E65 (2003-..),170kW,231hk,185kW,243hk,300Nm,330Nm,
735i E38,173kW,235hk,188kW,255hk,320Nm,355Nm,
735i E38,175kW,238hk,190kW,258hk,345Nm,380Nm,
735i E65 (2002- ...),200kW,272hk,218kW,297hk,360Nm,395Nm,
740i E38 1996,210kW,286hk,229kW,311hk,440Nm,472Nm,
740i E38 (1996-98),210kW,286hk,229kW,311hk,420Nm,452Nm,
740i E38 (1999-01),210kW,286hk,229kW,311hk,440Nm,472Nm,
740i E38 (1999-01),240kW,326hk,256kW,348hk,490Nm,525Nm,
745i E65 (2002-..),245kW,333hk,258kW,351hk,450Nm,476Nm,
745i E65 (2002-..),327kW,445hk,346kW,470hk,600Nm,632Nm,
725 TDS E38,105kW,143hk,125kW,170hk,280Nm,330Nm,
730d E38,135kW,184hk,161kW,220hk,390Nm,510Nm,
730d E38,142kW,193hk,165kW,225hk,410Nm,510Nm,
730d E65,160kW,218hk,180kW,260hk,500Nm,610Nm,
730d E 65,170kW,231hk,199kW,270hk,500Nm,591Nm,
740d E38,175kW,238hk,202kW,275hk,560Nm,620Nm,
740d E38,180kW,245hk,200kW,280hk,560Nm,635Nm,
740d E65,190kW,258hk,213kW,290hk,600Nm,660Nm,
745d E65,220kW,300hk,258kW,350hk,700Nm,800Nm,
745d,242kW,329hk,271kW,369hk,750Nm,830Nm,
 , , , , , , ,
X1,,,,,,,
18d,100kW,136hk,132kW,180hk,320Nm,390Nm,
20d,120kW,163hk,145kW,197hk,350Nm,420Nm,
23d,150kW,204hk,180kW,245hk,400Nm,480Nm,
 , , , , , , ,
X3,,,,,,,
"X3 2,5i",141kW,192hk,154kW,210hk,245Nm,275Nm,
"X3 3,0i",170kW,231hk,185kW,251hk,300Nm,332Nm,
X3 2.0d,110kW,150hk,135kW,184hk,330Nm,390Nm,
X3 2.0d (2006-...),130kW,177hk,158kW,215hk,350Nm,410Nm,
X3 3.0d,150kW,204hk,169kW,255hk,410Nm,550Nm,
X3 3.0d,160kW,218hk,180kW,260hk,500Nm,600Nm,
 , , , , , , ,
X5,,,,,,,
"X5 3,0i",170kW,231hk,185kW,243hk,300Nm,330Nm,
